time,vehicle_id,status,x,y,soc,battery,battery_capacity,load,load_ratio,capacity,speed,idle,current_time
2126.0,1,idle,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,1,2596.0
2126.0,2,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,2534.0
2158.0,1,idle,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,1,2626.0
2158.0,2,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,2534.0
2190.0,1,idle,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,1,2656.0
2190.0,2,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,2534.0
2220.0,1,idle,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,1,2686.0
2220.0,2,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,2534.0
2250.0,1,idle,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,1,2718.0
2250.0,2,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,2534.0
2280.0,1,idle,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,1,2750.0
2280.0,2,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,2534.0
2310.0,1,idle,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,1,2782.0
2310.0,2,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,2534.0
2342.0,1,idle,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,1,2814.0
2342.0,2,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,2534.0
2374.0,1,idle,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,1,2846.0
2374.0,2,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,2534.0
2406.0,1,idle,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,1,2878.0
2406.0,2,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,2534.0
2438.0,1,idle,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,1,2908.0
2438.0,2,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,2534.0
2470.0,1,idle,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,1,2938.0
2470.0,2,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,2534.0
2502.0,1,idle,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,1,2970.0
2502.0,2,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,2534.0
2534.0,1,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,3002.0
2534.0,2,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,2534.0
2534.0,1,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,3034.0
2534.0,2,idle,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,1,2534.0
2564.0,1,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,3034.0
2564.0,2,idle,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,1,2564.0
2564.985012544683,1,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,3034.0
2564.985012544683,2,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,3066.0
2566.0,1,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,3034.0
2566.0,2,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,3066.0
2566.0,1,idle,16.001172734764772,13.928429525952911,0.8765676433832218,87.65676433832218,100.0,0.0,0.0,150.0,2.0,1,3077.8763697653903
2566.0,2,moving,0.0,0.0,1.0,100.0,100.0,0.0,0.0,150.0,2.0,0,3066.0
